Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10.05221808592273,-0.02575310218947195,19.43212876068305,-160.7508143719899
10.71772255760172,-0.02469435573917,19.49113749649221,-161.8946270485631
11.42728657892828,-0.02639503772171403,19.55102206116457,-162.9969290035762
12.18382710087377,-0.02729231565373698,19.59684424541158,-164.0384205681724
12.9904541903865,-0.02790003935244452,19.64271996597173,-165.0246005741023
13.85048381558436,-0.02529970370265744,19.67476469638798,-165.9499669487525
14.76745147738802,-0.02525880066814438,19.70576424477305,-166.9137719652028
15.7451267436327,-0.02596558581896971,19.73975047525806,-167.7036395065293
16.78752874540723,-0.02660508514312854,19.76662870540092,-168.5134532212025
17.89894269932391,-0.02507328891804361,19.79213743016746,-169.2655390336467
19.08393752364108,-0.02446320269050604,19.81479276674867,-170.0009485523104
20.34738462065658,-0.02551638005176644,19.83510382589761,-170.6886055163255
21.69447790258435,-0.02522915790896361,19.84781113354543,-171.3302078641155
23.13075514323928,-0.02485298608094794,19.86715674904019,-171.9811515882614
24.66212074330468,-0.0262168651892324,19.88071106004334,-172.5591633920728
26.29487000276828,-0.02760157511070416,19.89228249802777,-173.1303706286378
28.03571500030828,-0.02388336537809673,19.90000048213354,-173.6815177254721
29.89181218601811,-0.02611202244052463,19.91057884851787,-174.1973457126014
31.87079180089955,-0.02610943028750021,19.91929832213828,-174.6921470884175
33.98078924406602,-0.0255512702066548,19.92550913114156,-175.1647362756961
36.23047851660347,-0.02684786939499322,19.93260980444053,-175.6262463801274
38.62910787957316,-0.02562692869845132,19.93657301839378,-176.0719228044639
41.18653787274329,-0.02528773485896949,19.94242484066705,-176.4928993458892
43.91328185034077,-0.02614226594002374,19.94575028635876,-176.9124689760614
46.82054920046208,-0.02510225617314071,19.94922783951721,-177.3107233590571
49.92029142581328,-0.02601969507652441,19.95232508754195,-177.686777985713
53.22525127521422,-0.02621316586196279,19.95527968478302,-178.0688055642356
56.74901512784066,-0.02341727444383185,19.95590989459328,-178.4342079597139
60.50606884555167,-0.02593336983816441,19.95967715020671,-178.8066540355554
64.51185732290489,-0.02746958011785686,19.96159954704346,-179.1694555364439
68.78284797966685,-0.02665909186359302,19.9611999257123,-179.5166267378928
73.33659845682659,-0.0247057088842474,19.96082242049061,-179.8750874244881
78.19182879440682,-0.02574770766688027,19.96200409284707,179.7567205607979
83.36849838778832,-0.02604005507424489,19.96219664675003,179.4187099485525
88.88788803890758,-0.02485650976553961,19.96002164270718,179.0500234903508
94.77268743963252,-0.02428625098553243,19.95919134512873,178.6876429527419
101.0470884469521,-0.02484071513449896,19.95848427489244,178.3175934832749
107.7368845334262,-0.02580406858934506,19.95685857558819,177.9375205617357
114.8695768217249,-0.02489926560833912,19.95384284226095,177.5561619207635
122.4744871391589,-0.02870825476049632,19.95305903729831,177.1693750040884
130.5828785569541,-0.02584248889649027,19.95075572984204,176.7612875164139
139.2280839097972,-0.0246834721218111,19.94417389133229,176.3347298539218
148.4456428239863,-0.02331465695608793,19.93976621339129,175.9007113775047
158.2734478174903,-0.02648428202908073,19.93632003058222,175.4552503896115
168.7519000725304,-0.02334808324179929,19.92944785831206,174.9983161120113
179.9240755210386,-0.02817768465966152,19.92507260608221,174.5018911077484
191.8359019257645,-0.02400003415205364,19.91617754709745,173.9919551973673
204.5363476849902,-0.02724142888696696,19.90799230442863,173.4665659888861
218.0776231370095,-0.02834756453801459,19.89930550385339,172.9026777683528
232.5153951919203,-0.0298715320576578,19.88905903511555,172.3156112900627
247.9090161730578,-0.02428102980506514,19.87216221327198,171.7043630336238
264.3217678088141,-0.02724682395495841,19.85808034616052,171.0552232212291
281.8211213778742,-0.02605858178176832,19.84291962785848,170.3739716662135
300.4790150772971,-0.02148128715824048,19.82160054602186,169.6716125723502
